Index;Date[UTC];Time[UTC];DvLIR-SN;MeterNumber;1.8.0[kWh];1.8.1[kWh];1.8.2[kWh];2.8.0[kWh];2.8.1[kWh];2.8.2[kWh];CurrentPower[W];Status
383;24.02.2024;16:15:00;000001;11121956;3533,9842;3533,9842;0,0000;49,7710;49,7710;0,0000;125;
384;24.02.2024;16:00:00;000001;11121956;3533,9529;3533,9529;0,0000;49,7710;49,7710;0,0000;125;
385;24.02.2024;15:45:00;000001;11121956;3533,9214;3533,9214;0,0000;49,7710;49,7710;0,0000;126;
386;24.02.2024;15:30:00;000001;11121956;3533,8813;3533,8813;0,0000;49,7710;49,7710;0,0000;169;
387;24.02.2024;15:15:00;000001;11121956;3533,8435;3533,8435;0,0000;49,7710;49,7710;0,0000;127;
388;24.02.2024;15:00:00;000001;11121956;3533,8185;3533,8185;0,0000;49,7710;49,7710;0,0000;90;
389;24.02.2024;14:45:00;000001;11121956;3533,7919;3533,7919;0,0000;49,7710;49,7710;0,0000;126;
390;24.02.2024;14:30:00;000001;11121956;3533,7608;3533,7608;0,0000;49,7710;49,7710;0,0000;121;
391;24.02.2024;14:15:00;000001;11121956;3533,7264;3533,7264;0,0000;49,7710;49,7710;0,0000;89;
392;24.02.2024;14:00:00;000001;11121956;3533,7082;3533,7082;0,0000;49,7710;49,7710;0,0000;87;
393;24.02.2024;13:45:00;000001;11121956;3533,6831;3533,6831;0,0000;49,7710;49,7710;0,0000;101;
394;24.02.2024;13:30:00;000001;11121956;3533,6548;3533,6548;0,0000;49,7710;49,7710;0,0000;137;
395;24.02.2024;13:15:00;000001;11121956;3533,6308;3533,6308;0,0000;49,7710;49,7710;0,0000;79;
396;24.02.2024;13:00:00;000001;11121956;3533,6085;3533,6085;0,0000;49,7710;49,7710;0,0000;55;
397;24.02.2024;12:45:00;000001;11121956;3533,5960;3533,5960;0,0000;49,7710;49,7710;0,0000;2;
398;24.02.2024;12:30:00;000001;11121956;3533,5884;3533,5884;0,0000;49,7702;49,7702;0,0000;103;
399;24.02.2024;12:15:00;000001;11121956;3533,5791;3533,5791;0,0000;49,7669;49,7669;0,0000;-45;
400;24.02.2024;12:00:00;000001;11121956;3533,5753;3533,5753;0,0000;49,7474;49,7474;0,0000;-126;
401;24.02.2024;11:45:00;000001;11121956;3533,5493;3533,5493;0,0000;49,7338;49,7338;0,0000;201;
402;24.02.2024;11:30:00;000001;11121956;3533,3881;3533,3881;0,0000;49,7338;49,7338;0,0000;150;
403;24.02.2024;11:15:00;000001;11121956;3533,3388;3533,3388;0,0000;49,7338;49,7338;0,0000;175;
404;24.02.2024;11:00:00;000001;11121956;3533,3007;3533,3007;0,0000;49,7338;49,7338;0,0000;75;
405;24.02.2024;10:45:00;000001;11121956;3533,2728;3533,2728;0,0000;49,7312;49,7312;0,0000;-128;
406;24.02.2024;10:30:00;000001;11121956;3532,8282;3532,8282;0,0000;49,7213;49,7213;0,0000;4677;
407;24.02.2024;10:15:00;000001;11121956;3532,5691;3532,5691;0,0000;49,7157;49,7157;0,0000;21;
408;24.02.2024;10:00:00;000001;11121956;3532,4892;3532,4892;0,0000;49,7157;49,7157;0,0000;386;
409;24.02.2024;09:45:00;000001;11121956;3532,4285;3532,4285;0,0000;49,7157;49,7157;0,0000;72;
410;24.02.2024;09:30:00;000001;11121956;3532,4091;3532,4091;0,0000;49,7156;49,7156;0,0000;-18;
411;24.02.2024;09:15:00;000001;11121956;3532,3983;3532,3983;0,0000;49,7150;49,7150;0,0000;7;
412;24.02.2024;09:00:00;000001;11121956;3532,3842;3532,3842;0,0000;49,7150;49,7150;0,0000;42;
413;24.02.2024;08:45:00;000001;11121956;3532,3471;3532,3471;0,0000;49,7150;49,7150;0,0000;159;
414;24.02.2024;08:30:00;000001;11121956;3532,3084;3532,3084;0,0000;49,7150;49,7150;0,0000;245;
415;24.02.2024;08:15:00;000001;11121956;3532,1878;3532,1878;0,0000;49,7150;49,7150;0,0000;2145;
416;24.02.2024;08:00:00;000001;11121956;3531,6341;3531,6341;0,0000;49,7150;49,7150;0,0000;2275;
417;24.02.2024;07:45:00;000001;11121956;3531,0705;3531,0705;0,0000;49,7150;49,7150;0,0000;2216;
418;24.02.2024;07:30:00;000001;11121956;3530,6491;3530,6491;0,0000;49,7150;49,7150;0,0000;252;
419;24.02.2024;07:15:00;000001;11121956;3530,5804;3530,5804;0,0000;49,7150;49,7150;0,0000;334;
420;24.02.2024;07:00:00;000001;11121956;3530,5133;3530,5133;0,0000;49,7150;49,7150;0,0000;111;
421;24.02.2024;06:45:00;000001;11121956;3530,4802;3530,4802;0,0000;49,7150;49,7150;0,0000;434;
422;24.02.2024;06:30:00;000001;11121956;3530,4101;3530,4101;0,0000;49,7150;49,7150;0,0000;201;
423;24.02.2024;06:15:00;000001;11121956;3530,2661;3530,2661;0,0000;49,7150;49,7150;0,0000;124;
424;24.02.2024;06:00:00;000001;11121956;3530,2296;3530,2296;0,0000;49,7150;49,7150;0,0000;180;
425;24.02.2024;05:45:00;000001;11121956;3530,1931;3530,1931;0,0000;49,7150;49,7150;0,0000;135;
426;24.02.2024;05:30:00;000001;11121956;3530,1502;3530,1502;0,0000;49,7150;49,7150;0,0000;204;
427;24.02.2024;05:15:00;000001;11121956;3530,1034;3530,1034;0,0000;49,7150;49,7150;0,0000;133;
428;24.02.2024;05:00:00;000001;11121956;3530,0701;3530,0701;0,0000;49,7150;49,7150;0,0000;133;
429;24.02.2024;04:45:00;000001;11121956;3530,0296;3530,0296;0,0000;49,7150;49,7150;0,0000;134;
430;24.02.2024;04:30:00;000001;11121956;3529,9960;3529,9960;0,0000;49,7150;49,7150;0,0000;134;
431;24.02.2024;04:15:00;000001;11121956;3529,9619;3529,9619;0,0000;49,7150;49,7150;0,0000;134;
432;24.02.2024;04:00:00;000001;11121956;3529,9284;3529,9284;0,0000;49,7150;49,7150;0,0000;133;
433;24.02.2024;03:45:00;000001;11121956;3529,8942;3529,8942;0,0000;49,7150;49,7150;0,0000;135;
434;24.02.2024;03:30:00;000001;11121956;3529,8549;3529,8549;0,0000;49,7150;49,7150;0,0000;132;
435;24.02.2024;03:15:00;000001;11121956;3529,8162;3529,8162;0,0000;49,7150;49,7150;0,0000;172;
436;24.02.2024;03:00:00;000001;11121956;3529,7744;3529,7744;0,0000;49,7150;49,7150;0,0000;133;
437;24.02.2024;02:45:00;000001;11121956;3529,7402;3529,7402;0,0000;49,7150;49,7150;0,0000;133;
438;24.02.2024;02:30:00;000001;11121956;3529,7031;3529,7031;0,0000;49,7150;49,7150;0,0000;181;
439;24.02.2024;02:15:00;000001;11121956;3529,6664;3529,6664;0,0000;49,7150;49,7150;0,0000;134;
440;24.02.2024;02:00:00;000001;11121956;3529,6326;3529,6326;0,0000;49,7150;49,7150;0,0000;136;
441;24.02.2024;01:45:00;000001;11121956;3529,5986;3529,5986;0,0000;49,7150;49,7150;0,0000;132;
442;24.02.2024;01:30:00;000001;11121956;3529,5652;3529,5652;0,0000;49,7150;49,7150;0,0000;134;
443;24.02.2024;01:15:00;000001;11121956;3529,5260;3529,5260;0,0000;49,7150;49,7150;0,0000;188;
444;24.02.2024;01:00:00;000001;11121956;3529,4886;3529,4886;0,0000;49,7150;49,7150;0,0000;170;
445;24.02.2024;00:45:00;000001;11121956;3529,4449;3529,4449;0,0000;49,7150;49,7150;0,0000;173;
446;24.02.2024;00:30:00;000001;11121956;3529,4091;3529,4091;0,0000;49,7150;49,7150;0,0000;133;
447;24.02.2024;00:15:00;000001;11121956;3529,3754;3529,3754;0,0000;49,7150;49,7150;0,0000;134;
448;24.02.2024;00:00:00;000001;11121956;3529,3349;3529,3349;0,0000;49,7150;49,7150;0,0000;134;
449;23.02.2024;23:45:00;000001;11121956;3529,3012;3529,3012;0,0000;49,7150;49,7150;0,0000;135;
450;23.02.2024;23:30:00;000001;11121956;3529,2673;3529,2673;0,0000;49,7150;49,7150;0,0000;136;
451;23.02.2024;23:15:00;000001;11121956;3529,2324;3529,2324;0,0000;49,7150;49,7150;0,0000;136;
452;23.02.2024;23:00:00;000001;11121956;3529,1982;3529,1982;0,0000;49,7150;49,7150;0,0000;137;
453;23.02.2024;22:45:00;000001;11121956;3529,1560;3529,1560;0,0000;49,7150;49,7150;0,0000;173;
454;23.02.2024;22:30:00;000001;11121956;3529,1089;3529,1089;0,0000;49,7150;49,7150;0,0000;180;
455;23.02.2024;22:15:00;000001;11121956;3529,0694;3529,0694;0,0000;49,7150;49,7150;0,0000;144;
456;23.02.2024;22:00:00;000001;11121956;3528,9884;3528,9884;0,0000;49,7150;49,7150;0,0000;357;
457;23.02.2024;21:45:00;000001;11121956;3528,8512;3528,8512;0,0000;49,7150;49,7150;0,0000;542;
458;23.02.2024;21:30:00;000001;11121956;3528,7186;3528,7186;0,0000;49,7150;49,7150;0,0000;570;
459;23.02.2024;21:15:00;000001;11121956;3528,5857;3528,5857;0,0000;49,7150;49,7150;0,0000;526;
460;23.02.2024;21:00:00;000001;11121956;3528,4512;3528,4512;0,0000;49,7150;49,7150;0,0000;562;
461;23.02.2024;20:45:00;000001;11121956;3528,3225;3528,3225;0,0000;49,7150;49,7150;0,0000;497;
462;23.02.2024;20:30:00;000001;11121956;3528,1752;3528,1752;0,0000;49,7150;49,7150;0,0000;553;
463;23.02.2024;20:15:00;000001;11121956;3528,0346;3528,0346;0,0000;49,7150;49,7150;0,0000;568;
464;23.02.2024;20:00:00;000001;11121956;3527,8975;3527,8975;0,0000;49,7150;49,7150;0,0000;544;
465;23.02.2024;19:45:00;000001;11121956;3527,7623;3527,7623;0,0000;49,7150;49,7150;0,0000;519;
466;23.02.2024;19:30:00;000001;11121956;3527,6815;3527,6815;0,0000;49,7150;49,7150;0,0000;247;
467;23.02.2024;19:15:00;000001;11121956;3527,6111;3527,6111;0,0000;49,7150;49,7150;0,0000;249;
468;23.02.2024;19:00:00;000001;11121956;3527,5310;3527,5310;0,0000;49,7150;49,7150;0,0000;328;
469;23.02.2024;18:45:00;000001;11121956;3527,4188;3527,4188;0,0000;49,7150;49,7150;0,0000;563;
470;23.02.2024;18:30:00;000001;11121956;3527,2673;3527,2673;0,0000;49,7150;49,7150;0,0000;476;
471;23.02.2024;18:15:00;000001;11121956;3527,1338;3527,1338;0,0000;49,7150;49,7150;0,0000;601;
472;23.02.2024;18:00:00;000001;11121956;3527,0257;3527,0257;0,0000;49,7150;49,7150;0,0000;232;
473;23.02.2024;17:45:00;000001;11121956;3526,9675;3526,9675;0,0000;49,7150;49,7150;0,0000;234;
474;23.02.2024;17:30:00;000001;11121956;3526,9062;3526,9062;0,0000;49,7150;49,7150;0,0000;441;
475;23.02.2024;17:15:00;000001;11121956;3526,8358;3526,8358;0,0000;49,7150;49,7150;0,0000;157;
476;23.02.2024;17:00:00;000001;11121956;3526,7925;3526,7925;0,0000;49,7150;49,7150;0,0000;147;
477;23.02.2024;16:45:00;000001;11121956;3526,7557;3526,7557;0,0000;49,7150;49,7150;0,0000;137;
478;23.02.2024;16:30:00;000001;11121956;3526,7216;3526,7216;0,0000;49,7150;49,7150;0,0000;136;
479;23.02.2024;16:15:00;000001;11121956;3526,6464;3526,6464;0,0000;49,7150;49,7150;0,0000;167;
480;23.02.2024;16:00:00;000001;11121956;3526,5789;3526,5789;0,0000;49,7150;49,7150;0,0000;207;
481;23.02.2024;15:45:00;000001;11121956;3526,4742;3526,4742;0,0000;49,7150;49,7150;0,0000;513;
482;23.02.2024;15:30:00;000001;11121956;3526,4208;3526,4208;0,0000;49,7150;49,7150;0,0000;212;
483;23.02.2024;15:15:00;000001;11121956;3526,3669;3526,3669;0,0000;49,7150;49,7150;0,0000;215;
484;23.02.2024;15:00:00;000001;11121956;3526,3117;3526,3117;0,0000;49,7150;49,7150;0,0000;222;
485;23.02.2024;14:45:00;000001;11121956;3526,2526;3526,2526;0,0000;49,7150;49,7150;0,0000;266;
486;23.02.2024;14:30:00;000001;11121956;3526,1992;3526,1992;0,0000;49,7150;49,7150;0,0000;204;
487;23.02.2024;14:15:00;000001;11121956;3526,1474;3526,1474;0,0000;49,7150;49,7150;0,0000;231;
488;23.02.2024;14:00:00;000001;11121956;3526,0901;3526,0901;0,0000;49,7150;49,7150;0,0000;233;
489;23.02.2024;13:45:00;000001;11121956;3526,0371;3526,0371;0,0000;49,7150;49,7150;0,0000;192;
490;23.02.2024;13:30:00;000001;11121956;3525,9817;3525,9817;0,0000;49,7150;49,7150;0,0000;202;
491;23.02.2024;13:15:00;000001;11121956;3525,9182;3525,9182;0,0000;49,7150;49,7150;0,0000;2297;
492;23.02.2024;13:00:00;000001;11121956;3525,6755;3525,6755;0,0000;49,7150;49,7150;0,0000;204;
493;23.02.2024;12:45:00;000001;11121956;3525,6305;3525,6305;0,0000;49,7150;49,7150;0,0000;203;
